alcohol,malic_acid,flavanoids,color_intensity,proline
11.82,1.47,1.6,1.95,495.0
12.42,1.61,2.09,2.06,345.0
12.77,3.43,1.25,3.4,372.0
12.0,3.43,1.64,1.28,564.0
11.45,2.4,2.79,3.25,625.0
11.56,2.05,5.08,6.0,465.0
12.42,4.43,2.13,2.08,365.0
13.05,5.8,2.65,2.6,380.0
11.87,4.31,3.03,2.8,380.0
12.07,2.16,2.65,2.76,378.0
12.43,1.53,3.15,3.94,352.0
11.79,2.13,2.24,3.0,466.0
12.37,1.63,2.45,2.12,342.0
12.04,4.3,1.75,2.6,580.0
12.86,1.35,1.25,4.1,630.0
12.88,2.99,1.22,5.4,530.0
12.81,2.31,1.09,5.7,560.0
12.7,3.55,1.2,5.0,600.0
12.51,1.24,0.58,5.45,650.0
12.6,2.46,0.66,7.1,695.0
12.25,4.72,0.47,3.85,720.0
12.53,5.51,0.6,5.0,515.0
13.49,3.59,0.48,5.7,580.0
12.84,2.96,0.6,4.92,590.0
12.93,2.81,0.5,4.6,600.0
13.36,2.56,0.5,5.6,780.0
13.52,3.17,0.52,4.35,520.0
13.62,4.95,0.8,4.4,550.0
12.25,3.88,0.78,8.21,855.0
13.16,3.57,0.55,4.0,830.0
13.88,5.04,0.34,4.9,415.0
12.87,4.61,0.65,7.65,625.0
13.32,3.24,0.76,8.42,650.0
13.08,3.9,1.39,9.4,550.0
13.5,3.12,1.57,8.6,500.0
12.79,2.67,1.36,10.8,480.0
13.11,1.9,1.28,7.1,425.0
13.23,3.3,0.83,10.52,675.0
12.58,1.29,0.58,7.6,640.0
13.17,5.19,0.63,7.9,725.0
13.84,4.12,0.83,9.01,480.0
12.45,3.03,0.58,7.5,880.0
14.34,1.68,1.31,13.0,660.0
13.48,1.67,1.1,11.75,620.0
12.36,3.83,0.92,7.65,520.0
13.69,3.26,0.56,5.88,680.0
12.85,3.27,0.6,5.58,570.0
12.96,3.45,0.7,5.28,675.0
13.78,2.76,0.68,9.58,615.0
13.73,4.36,0.47,6.62,520.0
13.45,3.7,0.92,10.68,695.0
12.82,3.37,0.66,10.26,685.0
13.58,2.58,0.84,8.66,750.0
13.4,4.6,0.96,8.5,630.0
12.2,3.03,0.49,5.5,510.0
12.77,2.39,0.51,9.899999,470.0
14.16,2.51,0.7,9.7,660.0
13.71,5.65,0.61,7.7,740.0
13.4,3.91,0.75,7.3,750.0
13.27,4.28,0.69,10.2,835.0
13.17,2.59,0.68,9.3,840.0
14.13,4.1,0.76,9.2,560.0
